smiles,is_standard_smiles,standardised_smiles,inchi_key
CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CNCN1CCC2=CC=CC=C2C1)N1C=CN=C(NCC2=NON=C2C)C1=O,False,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CNCN1CCc2ccccc2C1)n1ccnc(NCc2nonc2C)c1=O,WFIQHZHXONNEFZ-UHFFFAOYSA-N
COC1CN(C(=O)C2=CC=C(C3=CC=C4N=C(C(C(=O)NCCS(N)(=O)=O)S(C)(=O)=O)SC4=C3)C=C2)C1,False,COC1CN(C(=O)c2ccc(-c3ccc4nc(C(C(=O)NCCS(N)(=O)=O)S(C)(=O)=O)sc4c3)cc2)C1,JTZCTMAVMHRNTR-UHFFFAOYSA-N
CCC(CC)(CN)C(=O)N1CCOC(C)(C)C1,True,CCC(CC)(CN)C(=O)N1CCOC(C)(C)C1,YZLZNKMDLFOCFV-UHFFFAOYSA-N
CCCCCCCCSC(=O)OC1=CC(Cl)=NN=C1C1=CC=CC=C1,False,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1,CSMOSYIFOGJHKG-UHFFFAOYSA-N
COC(=O)C1=C(C)N=C(NC2=CC=CC=C2N2CC3(CCN(CC(C)(C)C)CC3)C3=CC=CC=C23)S1,False,COC(=O)c1sc(Nc2ccccc2N2CC3(CCN(CC(C)(C)C)CC3)c3ccccc32)nc1C,BWNUBGLDKLIXSH-UHFFFAOYSA-N
CC1=CC=C(C(=O)NC2=CC=C(CN3CCN(CCF)CC3)C(C(F)(F)F)=C2)C=C1C#CC1=CN=C2C=CC=CN12,False,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCF)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,YPTJNIBVBKYEEA-UHFFFAOYSA-N
CN(C)CCCCOC1=CC=CC=C1CCC1=CC=CC(Cl)=C1.Cl,False,CN(C)CCCCOc1ccccc1CCc1cccc(Cl)c1,JJRKTSPBEWBPMR-CEXWTWQISA-N
O=C1OC2=CC(Br)=CC=C2C=C1C1=NC2=CC=CC=C2N1,False,O=c1oc2cc(Br)ccc2cc1-c1nc2ccccc2[nH]1,VQUDFPYCBUWFGB-OIMFZILRSA-N
CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C=O)CCC(=O)OC(C)(C)C,True,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C=O)CCC(=O)OC(C)(C)C,XFOWEKUCAOAHPD-UHFFFAOYSA-N
CCNC(=O)N(CC)C[C@H]1N[C@@](CC)(C(=O)OC)[C@H]2C(=O)N(CC3=CC=CC=C3)C(=O)[C@@H]12.O=C(O)C(F)(F)F,False,CCNC(=O)N(CC)C[C@H]1N[C@@](CC)(C(=O)OC)[C@H]2C(=O)N(Cc3ccccc3)C(=O)[C@@H]12,QGAPHPYAEAZBIR-UHFFFAOYSA-N
O=C(C(=O)N1CCN(C(=O)C2=CC=CC=C2)CC1)C1=CNC2=C(C3=CSC=C3)C=CC(F)=C12,False,O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1c[nH]c2c(-c3ccsc3)ccc(F)c12,KCKDFGFWZWHIMF-UHFFFAOYSA-N
CN(C)C1=CC=CC(OCC2CCN(CC3CC3)CC2)=C1.O,False,CN(C)c1cccc(OCC2CCN(CC3CC3)CC2)c1,PUMGXQBGJAEZHJ-IEXUWNMDSA-N
O=C(COC1=CC=C(Cl)C=C1Br)N1CCN(C2=CC=CC=C2)CC1,False,O=C(COc1ccc(Cl)cc1Br)N1CCN(c2ccccc2)CC1,QHHLWRWNHQXBKD-UHFFFAOYSA-N
O=[N+]([O-])[C@H]1[C@H](C2=CC=CC=C2Br)CCN(CC2=CC=CN=C2)[C@@H]1C1=CC=C2NC=NC2=C1,False,O=[N+]([O-])[C@@H]1[C@@H](c2ccc3[nH]cnc3c2)N(Cc2cccnc2)CC[C@H]1c1ccccc1Br,QBHPBZZFBDVFFR-UHFFFAOYSA-N
COC1=CC=CC=C1CNC(=O)C1CCC(CNS(=O)(=O)C2=CC=CS2)CC1,False,COc1ccccc1CNC(=O)C1CCC(CNS(=O)(=O)c2cccs2)CC1,CWOOZDSAXNDAHB-GWNQARJWSA-N
CNC(=O)CSC1=NC2=CC=C(NC(=O)C3=CC=C(Cl)C=C3)C=C2S1,False,CNC(=O)CSc1nc2ccc(NC(=O)c3ccc(Cl)cc3)cc2s1,BLJWZLWQWDOSMG-UHFFFAOYSA-N
CC(=O)C1=NN(CC(=O)N2[C@H](C(=O)NCC3CCCC(C(F)(F)F)C3)C[C@H]3C[C@@H]23)C2=CN=CC=C12,False,CC(=O)c1nn(CC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NCC2CCCC(C(F)(F)F)C2)c2cnccc12,JOWZHWLQJUVEAC-UHFFFAOYSA-N
CC1=CC=CN=C1C1=CC(OC2=CC=C(S(C)(=O)=O)C=C2)=CC(C(=O)NC2=NN(C)C=C2)=C1,False,Cc1cccnc1-c1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(C(=O)Nc2ccn(C)n2)c1,YDOWIMXOKOTLRG-UHFFFAOYSA-N
C1=CSC(C2=NC3=CC=C4NN=CC4=C3C3=C2CCCC3)=C1,False,c1csc(-c2nc3ccc4[nH]ncc4c3c3c2CCCC3)c1,RMYZFVAOIVUOKB-FQEVSTJZSA-N
CC1=NNC=C1C1=CSC(NC2=CC=CC=N2)=N1,False,Cc1n[nH]cc1-c1csc(Nc2ccccn2)n1,PBYSDJPXQGOXIM-UHFFFAOYSA-N
CCCCCCCN1CCC(=O)N([C@H](CO)CC2=CC=CC=C2)CC1,False,CCCCCCCN1CCC(=O)N([C@H](CO)Cc2ccccc2)CC1,XQHXUFTWMPGRPV-UHFFFAOYSA-N
O=C(O)COC1=CC(CC2CCN(CCC3=CC=C4C(=C3)C(=O)C(O)CO4)CC2)=CC=C1Br,False,O=C(O)COc1cc(CC2CCN(CCc3ccc4c(c3)C(=O)C(O)CO4)CC2)ccc1Br,PAKKKIKZKRULST-RUZDIDTESA-N
N#CC1=C(N)OC2=NC=NC(O)=C2C1C1=CC=CS1,False,N#CC1=C(N)Oc2nc[nH]c(=O)c2C1c1cccs1,HLZVVLMUAFJYCR-ZJUUUORDSA-N
O=C1CC[C@](CCN2CC(N3CCC(F)CC3)C2)(C2=CC=C(Cl)C(Cl)=C2)CN1CC1CC1,False,O=C1CC[C@](CCN2CC(N3CCC(F)CC3)C2)(c2ccc(Cl)c(Cl)c2)CN1CC1CC1,GJVIERLLMILFBX-UHFFFAOYSA-N
CC1(C)[C@H](C(=O)N=C(N)N)[C@H]1C1=CC(Cl)=CC=C1Cl,False,CC1(C)[C@H](C(=O)N=C(N)N)[C@H]1c1cc(Cl)ccc1Cl,DBXNGDMPZVOHPX-UHFFFAOYSA-N
CCN1C=NC2=C1C(=O)NC(=O)N2CC1=CC=C(CNS(=O)(=O)C2=CC=CC(C3=CC=CC=C3)=C2)C=C1,False,CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccc(CNS(=O)(=O)c2cccc(-c3ccccc3)c2)cc1,TXNDQRUHIVXZPC-UHFFFAOYSA-N
FC1=CC=C(OC2=CC=C(C3=NC(NCCCN4C=CN=C4)=NC4=CC=CC=C34)C=C2)C=C1,False,Fc1ccc(Oc2ccc(-c3nc(NCCCn4ccnc4)nc4ccccc34)cc2)cc1,FVSDFHKTRXNTNX-UHFFFAOYSA-N
CCN(CC)C(=O)C1=CC(Cl)=CC(C)=C1NC(=O)C1CC(C2=CC=C(F)C=C2)=NO1,False,CCN(CC)C(=O)c1cc(Cl)cc(C)c1NC(=O)C1CC(c2ccc(F)cc2)=NO1,JJSJXYVOHHMPQN-AATRIKPKSA-N
COC1=CC=C(S(=O)(=O)N(CCC2=CC=CC=C2)CC(=O)O)C=C1Cl,False,COc1ccc(S(=O)(=O)N(CCc2ccccc2)CC(=O)O)cc1Cl,IXXVOBKEHRSFMP-QGZVFWFLSA-N
CC1(C)OC(/C=C/C2=CC=CN=C2)=CC1=O,False,CC1(C)OC(/C=C/c2cccnc2)=CC1=O,UNMPPPGEZMOFAY-UHFFFAOYSA-N
CC[C@@H]1C(=O)N(C)C2=CN=C(N3C=CC4=CC(F)=CC=C34)N=C2N1C1CCCC1,False,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccc4cc(F)ccc43)nc2N1C1CCCC1,DKNICMFSCPSEIP-UHFFFAOYSA-N
O=C1C2=CC=CC=C2N=C(CCC2=CNC3=CC=CC=C23)N1C1=CC=CC(Br)=C1,False,O=c1c2ccccc2nc(CCc2c[nH]c3ccccc23)n1-c1cccc(Br)c1,JXYOTCLICONIGY-UHFFFAOYSA-N
COC1=CC=C(C(=O)NC2=CC(C)=C(NC(=O)C3=CC=CC=N3)C=N2)C=C1,False,COc1ccc(C(=O)Nc2cc(C)c(NC(=O)c3ccccn3)cn2)cc1,YXUCGRIKEPQUEQ-ARDXYTESSA-N
CC1=C(F)C=CC=C1C(=O)NC1=CC=CC=N1,False,Cc1c(F)cccc1C(=O)Nc1ccccn1,LPCVZVMPDVFMLI-UHFFFAOYSA-N
C=C1C(=O)O[C@H]2[C@H]1CC/C(COC(=O)C1=CN(C)C3=CC=CC=C13)=C/CC[C@@]1(C)O[C@@H]21,False,C=C1C(=O)O[C@H]2[C@H]1CC/C(COC(=O)c1cn(C)c3ccccc13)=C/CC[C@@]1(C)O[C@@H]21,BYKSGIBZZYJFEU-UHFFFAOYSA-N
CC1=C(C2=NC3=CC(C(F)(F)F)=CC=C3N2C)C(C2=CC=C(Cl)C(Cl)=C2)N2N=CC=C2N1,False,CC1=C(c2nc3cc(C(F)(F)F)ccc3n2C)C(c2ccc(Cl)c(Cl)c2)n2nccc2N1,ZMONKGJOFYGVRE-OHDFALRFSA-N
CC1=CC2=C(C=C1C1=CC=C(NCC3=C(F)C=CC=C3Cl)N=C1)OC(F)(F)O2,False,Cc1cc2c(cc1-c1ccc(NCc3c(F)cccc3Cl)nc1)OC(F)(F)O2,BGJPJCPOUAXYOC-UHFFFAOYSA-N
CC(=O)NC(C(=O)NCCCC(NC(=O)C1=CC2=CC=CC=C2N1)C(=O)N[C@H](CC1=CC=CC=C1)C(=O)N(C)CC1=CC=CC=C1)[C@@H](C)O,False,CC(=O)NC(C(=O)NCCCC(NC(=O)c1cc2ccccc2[nH]1)C(=O)N[C@H](Cc1ccccc1)C(=O)N(C)Cc1ccccc1)[C@@H](C)O,OCFACRWFEFGYDB-UHFFFAOYSA-N
CC1=CC=C(O)C(C(=O)C2=CN=CN=C2)=C1,False,Cc1ccc(O)c(C(=O)c2cncnc2)c1,SEOZZTGAEFZRNA-UHFFFAOYSA-N
OC1=CC=C(O)C(C2CCCCCCC2)=C1,False,Oc1ccc(O)c(C2CCCCCCC2)c1,UIFKHGUXZDWVGO-XAYSYOTPSA-N
CC1=NN2C(=O)C=C(C3=CC=C(OC(C)C)C=C3)NC2=C1CC1=CC=C(Cl)C=C1,False,Cc1nn2c(=O)cc(-c3ccc(OC(C)C)cc3)[nH]c2c1Cc1ccc(Cl)cc1,AGJDEFROPBEZAX-UHFFFAOYSA-N
C[C@@]12C(=O)N(C3=CC=CC(Br)=C3)C(=O)N1[C@H](C1=CC=C(Cl)C=C1)[C@@H]1C(=O)N(C3CCCCC3)C(=O)[C@H]21,False,C[C@@]12C(=O)N(c3cccc(Br)c3)C(=O)N1[C@H](c1ccc(Cl)cc1)[C@@H]1C(=O)N(C3CCCCC3)C(=O)[C@@H]12,QDTUIHOOSMFIDM-UHFFFAOYSA-N
CCCCCCSC1=CC(C2=C(NCC3=CC=CC=C3)N3C(=N2)C=CC(C)=C3)=CC=C1OC.O=C(O)C(F)(F)F,False,CCCCCCSc1cc(-c2nc3ccc(C)cn3c2NCc2ccccc2)ccc1OC,QOBGWWQAMAPULA-RLLQIKCJSA-N
COC1=CC2=C(C=C1OC)C(CC(=O)O)CC2,False,COc1cc2c(cc1OC)C(CC(=O)O)CC2,CHDGAVDQRSPBTA-UHFFFAOYSA-N
CN(C)CCO[C@]1(C2=CC=CC=C2)C[C@H]2CC[C@]1(C)C2(C)C,False,CN(C)CCO[C@]1(c2ccccc2)C[C@H]2CC[C@]1(C)C2(C)C,PEHIYOQUUMHTNJ-INIZCTEOSA-N
CCS(=O)(=O)OC1=CC=C2C(C)=C(C)C(=O)OC2=C1,False,CCS(=O)(=O)Oc1ccc2c(C)c(C)c(=O)oc2c1,SVETZGCVGDLYIP-UHFFFAOYSA-N
NC1=NC=NC2=C1N=C(SC1=CC3=C(C=C1Br)OCO3)N2CCC1CCN(C(=O)[C@@H]2CCCN2)CC1,False,Nc1ncnc2c1nc(Sc1cc3c(cc1Br)OCO3)n2CCC1CCN(C(=O)[C@@H]2CCCN2)CC1,QHSJBEKEFQKRGE-UHFFFAOYSA-N
CN(C)C1=CC=C(C#CC2=NC=NC(NC3CCCCC3)=C2C2=CC=C(Cl)C=C2)C=C1,False,CN(C)c1ccc(C#Cc2ncnc(NC3CCCCC3)c2-c2ccc(Cl)cc2)cc1,GJLZZFMOTYNFTR-PKNBQFBNSA-N
